Player,Nation,Age,Squad,Comp,played_two_leagues,#Prog_Pass,Ast,Att_Drib,Att_Pass,Att_Recep,Blocks,Clr,Cmp_Pass,Def_GCA,Def_SCA,Drib_GCA,Drib_SCA,F1,Fld_GCA,Fld_SCA,GCA,Gls,Int,Live_Touches,Marktvalue,Min,npxG,OG_GCA,Oppon_Drib,PassDead,PassDead_SCA,PassLive_GCA,PassLive_SCA,Press,Recep,Rk,SCA,Sh_SCA,Sh_SCA.1,Succ_Press,Tkl,Tkl+Int,TklW,TotDist_Carried,TotPrgDist_Carried,TotPrgDist_Pass,xA,xG
Louis Beyer,GER,19,M'Gladbach,de Bundesliga,False,0,0,1,41,32,4,7,33,0,0,0,0,269,0,1,0,0,1,53,,110,0,0,1,0,0,0,0,18,30,291,1,0,0,6,6,7,4,116,56,155,0,0
Vitorino Antunes,POR,32,Getafe,es La Liga,False,0,0,0,1,2,1,0,0,0,0,0,0,96,0,0,0,0,0,3,1600000,6,0,0,0,0,0,0,0,2,2,105,0,0,0,1,0,0,0,11,11,0,0,0
Can Bozdogan,GER,18,Schalke 04,de Bundesliga,False,6,0,15,73,77,1,0,54,0,0,0,0,320,0,0,0,0,2,102,0,235,0.1,0,11,0,0,0,2,77,64,350,2,0,0,27,9,11,7,745,461,272,0,0.1
Jordan Pickford,ENG,25,Everton,eng Premier League,False,1,0,1,1373,636,0,1,895,0,0,0,0,1862,0,0,0,0,0,1042,28000000,3420,0,0,0,0,3,0,3,8,634,1978,6,0,0,3,0,0,0,3895,2090,21723,0.1,0
Adrien Silva,POR,30,Monaco,fr Ligue 1,False,65,2,31,835,705,26,17,719,0,1,0,3,2168,0,0,3,0,12,931,8000000,1221,0.5,0,18,2,6,1,22,349,668,2313,32,0,0,116,38,50,28,2839,1522,3887,1.4,0.5
Samu Chukwueze,NGA,20,Villarreal,es La Liga,False,79,2,99,750,1106,29,8,553,0,3,3,13,466,3,11,14,3,9,1053,27000000,2020,3.6,0,62,0,0,7,69,347,823,514,99,1,3,97,18,27,15,7219,4990,2682,3.3,3.6
Martin Odegaard,NOR,20,Real Sociedad,es La Liga,False,203,6,94,1617,1582,20,14,1308,0,0,1,7,2552,0,2,15,4,15,1730,45000000,2527,3.2,0,65,2,29,11,75,517,1401,2731,116,1,3,125,28,43,18,9565,5162,6909,5.2,3.2
Alberto Cerri,ITA,23,SPAL / Cagliari,it Serie A,False,16,0,15,247,407,1,6,164,0,0,0,0,896,0,1,0,2,1,309,3500000,664,1.8,0,12,0,0,0,13,81,268,969,15,0,1,18,7,8,4,1074,448,353,0.9,1.8
Rune Jarstein,NOR,34,Hertha BSC,de Bundesliga,False,0,0,1,1007,433,0,1,658,0,0,0,0,1104,0,0,0,0,0,770,800000,2547,0,0,1,0,4,0,3,2,432,1187,7,0,0,0,0,0,0,3207,1800,17225,0.2,0
Weston McKennie,USA,20,Schalke 04,de Bundesliga,False,80,0,44,1056,989,47,70,848,0,2,1,6,1518,0,1,2,3,32,1306,20000000,2074,2.5,0,28,0,0,1,33,492,842,1615,50,0,8,148,53,85,35,4929,2854,4003,2.1,2.5
Yaya Sanogo,FRA,26,Toulouse,fr Ligue 1,False,7,1,7,177,470,9,12,124,0,0,0,1,2099,0,3,2,3,5,290,2000000,910,2.7,1,4,0,0,1,11,209,211,2242,18,0,2,56,5,10,2,627,325,219,0.3,3.5
Daniel Carvajal,ESP,27,Real Madrid,es La Liga,False,157,5,57,2432,1976,71,36,2058,0,0,0,4,415,1,2,6,1,39,2428,40000000,2738,2.7,0,32,1,6,4,61,442,1865,460,74,0,1,132,70,109,53,8696,5122,12111,4.3,2.7
