,Player,Nation,Age,Squad,Comp,Rk,Min,Gls,Ast,xG,npxG,xA,GCA,Def_GCA,Drib_GCA,Fld_GCA,OG_GCA,PassDead_GCA,PassLive_GCA,Sh_GCA,SCA,Def_SCA,Drib_SCA,Fld_SCA,PassDead_SCA,PassLive_SCA,Sh_SCA,Blocks,Press,Succ_Press,Tkl,TklW,Int,Tkl+Int,Clr,Att_Pass,Cmp_Pass,TotPrgDist_Pass,#Prog_Pass,TotPrgDist_Carried,TotDist_Carried,Oppon_Drib,Att_Drib,Recep,Att_Recep,Live_Touches,played_two_leagues
0,Patrick van Aanholt,NED,28,Crystal Palace, Premier League,1,2507,3,2,2.4,1.6,3.2,5.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,62.0,0.0,3.0,2.0,23.0,32.0,2.0,57.0,267.0,74.0,51.0,32,23,74,67.0,1558.0,1227.0,9280.0,129.0,3129.0,5651.0,18.0,36.0,994.0,1079.0,1458.0,False
1,Max Aarons,ENG,19,Norwich City, Premier League,2,3240,0,1,0.5,0.5,3.4,3.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,55.0,1.0,3.0,4.0,2.0,42.0,3.0,100.0,487.0,132.0,64.0,36,20,84,86.0,1684.0,1316.0,6834.0,77.0,5439.0,9489.0,55.0,94.0,1244.0,1399.0,1821.0,False
2,Yunis Abdelhamid,MAR,31,Reims,Ligue 1,3,2520,3,0,1.3,1.3,0.1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,1.0,0.0,11.0,4.0,43.0,299.0,111.0,61.0,37,24,85,166.0,1515.0,1328.0,9041.0,80.0,4306.0,7673.0,21.0,26.0,1236.0,1266.0,1782.0,False
3,Suleiman Abdullahi,NGA,22,Union Berlin,Bundesliga,4,157,1,0,1.3,1.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,25.0,9.0,1.0,1,1,2,2.0,40.0,18.0,132.0,3.0,177.0,279.0,3.0,4.0,39.0,77.0,62.0,False
4,Mehdi Abeid,ALG,26,Nantes,Ligue 1,5,1817,1,2,1.6,1.6,1.4,4.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,46.0,1.0,1.0,1.0,14.0,27.0,2.0,18.0,417.0,114.0,60.0,41,17,77,22.0,957.0,801.0,3850.0,59.0,2116.0,4298.0,12.0,22.0,759.0,854.0,1091.0,False
5,Charles Abi,FRA,19,Saint-Étienne,Ligue 1,6,623,0,0,0.2,0.2,1.1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,4.0,0.0,8.0,0.0,1.0,181.0,53.0,10.0,8,4,14,5.0,132.0,74.0,199.0,8.0,492.0,938.0,16.0,21.0,142.0,309.0,196.0,False
6,David Abraham,ARG,33,Eint Frankfurt,Bundesliga,7,1688,2,0,1.4,1.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,10.0,1.0,32.0,200.0,75.0,30.0,22,16,46,87.0,896.0,742.0,6079.0,100.0,2352.0,4121.0,11.0,11.0,619.0,639.0,1022.0,False
7,Tammy Abraham,ENG,21,Chelsea, Premier League,8,2215,15,3,14.1,14.1,2.5,10.0,0.0,3.0,1.0,0.0,0.0,4.0,2.0,50.0,3.0,6.0,2.0,0.0,33.0,6.0,23.0,430.0,130.0,14.0,10,5,19,26.0,412.0,288.0,811.0,31.0,1164.0,2317.0,22.0,36.0,495.0,1076.0,688.0,False
8,Amir Abrashi,ALB,29,Freiburg,Bundesliga,9,663,0,0,0.4,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,1.0,8.0,0.0,19.0,164.0,41.0,23.0,13,8,31,15.0,342.0,298.0,1028.0,21.0,572.0,1484.0,7.0,10.0,261.0,288.0,423.0,False
9,Francesco Acerbi,ITA,31,Lazio,Serie A,10,3162,2,2,2.0,2.0,1.6,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,27.0,0.0,1.0,1.0,0.0,24.0,1.0,61.0,320.0,115.0,52.0,33,28,80,165.0,2011.0,1809.0,12495.0,119.0,6232.0,11551.0,15.0,17.0,1600.0,1641.0,2287.0,False
10,Che Adams,ENG,23,Southampton, Premier League,11,1111,4,2,4.0,4.0,1.2,5.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,25.0,1.0,3.0,4.0,0.0,15.0,2.0,10.0,231.0,58.0,8.0,6,3,11,10.0,265.0,184.0,631.0,19.0,847.0,1841.0,15.0,27.0,315.0,657.0,433.0,False
11,Tyler Adams,USA,20,RB Leipzig,Bundesliga,12,953,0,0,0.4,0.4,0.5,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,18.0,0.0,0.0,1.0,1.0,14.0,2.0,22.0,194.0,60.0,23.0,12,7,30,16.0,699.0,595.0,2653.0,38.0,1118.0,2484.0,6.0,11.0,554.0,602.0,737.0,False
12,Sargis Adamyan,ARM,26,Hoffenheim,Bundesliga,13,746,5,1,4.1,4.1,0.9,4.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,20.0,0.0,1.0,2.0,0.0,16.0,1.0,5.0,209.0,45.0,10.0,4,3,13,5.0,191.0,140.0,429.0,13.0,834.0,1591.0,13.0,24.0,212.0,404.0,297.0,False
13,Antonio Adan,ESP,32,Atlético Madrid,La Liga,14,25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,6.0,4.0,98.0,0.0,5.0,5.0,0.0,0.0,1.0,1.0,6.0,False
14,Bobby Adekanye,NED,20,Lazio,Serie A,15,188,1,0,1.7,1.7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,60.0,10.0,4.0,3,2,6,1.0,46.0,41.0,68.0,1.0,241.0,410.0,4.0,4.0,50.0,82.0,68.0,False
15,Claud Adjapong,ITA,21,Hellas Verona,Serie A,16,231,0,0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,50.0,12.0,5.0,3,3,8,9.0,80.0,61.0,358.0,5.0,214.0,440.0,2.0,3.0,63.0,76.0,98.0,False
16,Amine Adli,FRA,19,Toulouse,Ligue 1,17,46,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,17.0,4.0,0.0,0,1,1,0.0,27.0,21.0,127.0,4.0,144.0,259.0,3.0,4.0,23.0,26.0,28.0,False
17,Yacine Adli,FRA,19,Bordeaux,Ligue 1,18,1020,3,3,0.9,0.9,2.0,7.0,0.0,2.0,0.0,0.0,1.0,3.0,1.0,38.0,1.0,4.0,1.0,5.0,25.0,2.0,11.0,328.0,86.0,27.0,18,9,36,4.0,581.0,460.0,1964.0,55.0,1986.0,3296.0,28.0,42.0,549.0,612.0,695.0,False
18,Adrian,ESP,32,Liverpool, Premier League,19,875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0,0,0,0.0,314.0,227.0,3815.0,0.0,355.0,641.0,0.0,0.0,154.0,155.0,244.0,False
19,Aritz Aduriz,ESP,38,Athletic Club,La Liga,20,208,1,0,1.3,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,16.0,4.0,1.0,1,0,1,3.0,57.0,33.0,88.0,3.0,46.0,147.0,2.0,2.0,64.0,117.0,81.0,False
20,Lumor Agbenyenu,GHA,22,Mallorca,La Liga,21,1805,1,0,0.3,0.3,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,2.0,3.0,4.0,23.0,1.0,37.0,225.0,66.0,35.0,23,11,46,62.0,969.0,709.0,6166.0,71.0,2641.0,4849.0,30.0,45.0,599.0,665.0,964.0,False
21,Martin Agirregabiria,ESP,23,Alavés,La Liga,22,2099,1,1,0.9,0.9,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,23.0,0.0,2.0,2.0,1.0,18.0,0.0,39.0,248.0,60.0,50.0,22,9,59,68.0,1014.0,722.0,6069.0,60.0,1909.0,3313.0,16.0,26.0,608.0,677.0,986.0,False
22,Lucien Agoume,FRA,17,Inter,Serie A,23,68,0,0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,15.0,2.0,4.0,3,1,5,1.0,39.0,36.0,201.0,5.0,49.0,145.0,0.0,0.0,29.0,31.0,48.0,False
