Player;Nation;Age;Squad;Comp;played_two_leagues;#Prog_Pass;Ast;Att_Drib;Att_Pass;Att_Recep;Blocks;Clr;Cmp_Pass;Def_GCA;Def_SCA;Drib_GCA;Drib_SCA;Fld_GCA;Fld_SCA;GCA;Gls;Int;Live_Touches;Marktvalue;Min;npxG;OG_GCA;Oppon_Drib;PassDead_SCA;PassLive_GCA;PassLive_SCA;Press;Recep;Rk;SCA;Sh_SCA;Succ_Press;Tkl;Tkl+Int;TklW;TotDist_Carried;TotPrgDist_Carried;TotPrgDist_Pass;xA;xG;PassDead_GCA;Sh_GCA
Lucas Perrin;FRA;20;Marseille;Ligue 1;Falsch;4;0;3;256;220;4;22;238;0;0;0;0;0;0;0;0;6;295;1800000;360;0.3;0;2;1;0;1;37;217;1959;2;0;14;11;17;6;1077;578;1862;0;0.3;0;0
Conor Hourihane;IRL;28;Aston Villa;Premier League;Falsch;44;5;9;721;585;27;24;542;0;0;0;0;0;3;7;3;3;703;6000000;1534;1.6;0;6;27;2;25;224;492;1118;57;2;38;21;24;14;1693;724;3235;5.1;1.6;5;0
Thiago Silva;BRA;34;Paris S-G;Ligue 1;Falsch;89;0;7;1502;1308;27;71;1440;0;1;0;0;0;0;2;0;14;1631;4800000;1571;0.2;0;4;0;2;13;91;1292;2322;14;0;41;33;47;21;6214;4022;9937;0;0.2;0;0
Isaac Lihadji;FRA;17;Marseille;Ligue 1;Falsch;3;0;0;16;23;0;0;12;0;0;0;0;0;0;0;0;0;18;3200000;25;0;0;0;0;0;1;9;17;1418;1;0;3;0;0;0;169;126;62;0;0;0;0
Takehiro Tomiyasu;JPN;20;Bologna;Serie A;Falsch;151;3;47;1644;1232;65;107;1367;0;1;1;2;0;1;5;1;34;1715;13500000;2528;1;0;30;0;4;30;420;1165;2499;37;3;128;48;82;28;8007;4791;10130;1.1;1;0;0
Ruben Vezo;ESP;35;Osasuna;La Liga;Falsch;0;0;2;525;199;0;1;269;0;0;0;0;0;0;0;0;0;356;4800000;1583;0;0;2;2;0;0;1;197;2173;2;0;1;0;0;0;1618;957;9004;0;0;0;0
Sofiane Alakouch;FRA;21;Nîmes;Ligue 1;Falsch;64;0;34;810;558;23;35;664;0;0;0;1;0;1;3;0;18;802;3200000;1400;0.6;0;20;1;3;22;250;509;43;25;0;78;49;67;30;3248;2168;4858;1.1;0.6;0;0
Marko Rog;CRO;24;Cagliari;Serie A;Falsch;90;1;78;1178;1068;54;11;1007;0;1;0;6;0;6;8;1;29;1426;12000000;2317;2;0;62;6;6;46;633;968;2146;70;5;186;86;115;62;7322;4541;4199;1.6;2;0;2
Dani Martin;ESP;21;Betis;La Liga;Falsch;0;0;0;194;99;0;0;146;0;0;0;0;0;0;0;0;0;153;2700000;531;0;0;0;0;0;2;0;99;1562;2;0;0;0;0;0;449;271;2381;0.1;0;0;0
Hernani;POR;27;Levante;La Liga;Falsch;9;0;29;171;277;12;6;91;0;0;0;5;0;2;0;2;4;269;3200000;654;1.6;0;15;1;0;14;70;189;873;22;0;14;4;8;3;1917;1335;657;1.7;1.6;0;0
