team,marktvalue,points,league
Manchester City,€1.27bn,81,Premier League
Liverpool FC,€1.08bn,99,Premier League
Tottenham Hotspur,€1.04bn,59,Premier League
Chelsea FC,€797.00m,66,Premier League
Manchester United,€775.20m,66,Premier League
Arsenal FC,€680.55m,56,Premier League
Everton FC,€525.50m,49,Premier League
Leicester City,€384.25m,62,Premier League
West Ham United,€371.75m,39,Premier League
Wolverhampton Wanderers,€315.40m,59,Premier League
Newcastle United,€312.58m,44,Premier League
AFC Bournemouth,€311.20m,34,Premier League
Watford FC,€270.65m,34,Premier League
Southampton FC,€259.80m,52,Premier League
Crystal Palace,€248.65m,43,Premier League
Brighton & Hove Albion,€225.83m,41,Premier League
Burnley FC,€205.58m,54,Premier League
Aston Villa,€184.60m,35,Premier League
Norwich City,€110.85m,21,Premier League
Sheffield United,€110.80m,54,Premier League
Juventus FC,€870.08m,83,Serie A
SSC Napoli,€723.80m,62,Serie A
Inter Milan,€661.90m,82,Serie A
AC Milan,€563.05m,66,Serie A
AS Roma,€438.45m,70,Serie A
ACF Fiorentina,€331.85m,49,Serie A
SS Lazio,€287.20m,78,Serie A
Atalanta BC,€284.25m,78,Serie A
Torino FC,€231.28m,40,Serie A
Cagliari Calcio,€188.33m,45,Serie A
Genoa CFC,€185.10m,39,Serie A
UC Sampdoria,€181.48m,42,Serie A
US Sassuolo,€180.20m,51,Serie A
Udinese Calcio,€161.35m,45,Serie A
Parma Calcio 1913,€122.78m,49,Serie A
Bologna FC 1909,€113.98m,47,Serie A
SPAL,€97.70m,20,Serie A
Brescia Calcio,€94.18m,25,Serie A
US Lecce,€70.33m,35,Serie A
Hellas Verona,€59.33m,49,Serie A
Real Madrid,€1.20bn,87,LaLiga
FC Barcelona,€1.19bn,82,LaLiga
Atlético Madrid,€844.15m,70,LaLiga
Valencia CF,€493.35m,53,LaLiga
Real Betis Balompié,€337.15m,41,LaLiga
Sevilla FC,€328.40m,70,LaLiga
Real Sociedad,€297.65m,56,LaLiga
Celta de Vigo,€248.20m,37,LaLiga
Villarreal CF,€247.35m,60,LaLiga
Athletic Bilbao,€222.95m,51,LaLiga
RCD Espanyol Barcelona,€208.65m,25,LaLiga
Getafe CF,€168.70m,54,LaLiga
Deportivo Alavés,€132.00m,39,LaLiga
CD Leganés,€131.70m,36,LaLiga
Levante UD,€106.20m,49,LaLiga
Real Valladolid CF,€103.70m,42,LaLiga
SD Eibar,€75.30m,42,LaLiga
RCD Mallorca,€62.75m,33,LaLiga
CA Osasuna,€53.70m,52,LaLiga
Granada CF,€49.65m,56,LaLiga
Bayern Munich,€911.73m,82,Bundesliga
Borussia Dortmund,€691.03m,69,Bundesliga
RB Leipzig,€561.90m,66,Bundesliga
Bayer 04 Leverkusen,€440.95m,63,Bundesliga
TSG 1899 Hoffenheim,€292.03m,52,Bundesliga
Hertha BSC,€285.10m,41,Bundesliga
Borussia Mönchengladbach,€260.95m,65,Bundesliga
Eintracht Frankfurt,€247.10m,45,Bundesliga
VfL Wolfsburg,€236.35m,49,Bundesliga
FC Schalke 04,€213.73m,39,Bundesliga
SV Werder Bremen,€201.93m,31,Bundesliga
1.FSV Mainz 05,€152.53m,37,Bundesliga
FC Augsburg,€133.45m,36,Bundesliga
SC Freiburg,€121.05m,48,Bundesliga
1. FC Köln,€116.95m,36,Bundesliga
Fortuna Düsseldorf,€96.23m,30,Bundesliga
1.FC Union Berlin,€40.25m,41,Bundesliga
SC Paderborn 07,€26.18m,20,Bundesliga
Paris Saint-Germain,€1.09bn,68,Ligue 1
AS Monaco,€409.25m,40,Ligue 1
Olympique Lyon,€369.50m,40,Ligue 1
Olympique Marseille,€243.70m,56,Ligue 1
LOSC Lille,€185.00m,49,Ligue 1
OGC Nice,€181.85m,41,Ligue 1
Stade Rennais FC,€159.55m,50,Ligue 1
FC Girondins Bordeaux,€144.00m,37,Ligue 1
AS Saint-Étienne,€118.40m,30,Ligue 1
FC Nantes,€105.45m,37,Ligue 1
RC Strasbourg Alsace,€101.05m,38,Ligue 1
Montpellier HSC,€92.00m,40,Ligue 1
FC Toulouse,€84.40m,13,Ligue 1
SCO Angers,€77.70m,39,Ligue 1
Amiens SC,€74.80m,23,Ligue 1
Stade Reims,€70.10m,41,Ligue 1
Nîmes Olympique,€58.20m,27,Ligue 1
Dijon FCO,€48.05m,30,Ligue 1
FC Metz,€47.95m,34,Ligue 1
Stade Brest 29,€36.75m,34,Ligue 1
