Player,Marktvalue,Age,Team,League
Ederson,€56.00m  ,25,Manchester City,Premier League
Arijanet Muric,€1.80m  ,20,Manchester City,Premier League
Claudio Bravo,€1.20m  ,36,Manchester City,Premier League
Scott Carson,€800Th.  ,33,Manchester City,Premier League
Aymeric Laporte,€60.00m  ,25,Manchester City,Premier League
John Stones,€36.00m  ,25,Manchester City,Premier League
Nicolás Otamendi,€14.50m  ,31,Manchester City,Premier League
Eric García,€6.30m  ,18,Manchester City,Premier League
Tosin Adarabioyo,€2.80m  ,21,Manchester City,Premier League
Taylor Harwood Bellis,€2.30m  ,17,Manchester City,Premier League
Benjamin Mendy,€28.00m  ,24,Manchester City,Premier League
Oleksandr Zinchenko,€24.00m  ,22,Manchester City,Premier League
Angeliño,€17.50m  ,22,Manchester City,Premier League
Kyle Walker,€40.00m  ,29,Manchester City,Premier League
João Cancelo,€36.00m  ,25,Manchester City,Premier League
Alpha Dionkou,€250Th.  ,17,Manchester City,Premier League
Rodri,€64.00m  ,23,Manchester City,Premier League
Fernandinho,€8.00m  ,34,Manchester City,Premier League
Ilkay Gündogan,€40.00m  ,28,Manchester City,Premier League
Phil Foden,€27.00m  ,19,Manchester City,Premier League
Tommy Doyle,- ,17,Manchester City,Premier League
Kevin De Bruyne,€120.00m  ,28,Manchester City,Premier League
David Silva,€12.00m  ,33,Manchester City,Premier League
Adrián Bernabé,€2.30m  ,18,Manchester City,Premier League
Ryotaro Meshino,€450Th.  ,21,Manchester City,Premier League
Cole Palmer,- ,17,Manchester City,Premier League
Raheem Sterling,€128.00m  ,24,Manchester City,Premier League
Leroy Sané,€80.00m  ,23,Manchester City,Premier League
Bernardo Silva,€80.00m  ,24,Manchester City,Premier League
Riyad Mahrez,€48.00m  ,28,Manchester City,Premier League
Patrick Roberts,€2.80m  ,22,Manchester City,Premier League
Ian Poveda,€675Th.  ,19,Manchester City,Premier League
Gabriel Jesus,€56.00m  ,22,Manchester City,Premier League
Sergio Agüero,€52.00m  ,31,Manchester City,Premier League
Alisson,€72.00m  ,26,Liverpool FC,Premier League
Simon Mignolet,€8.00m  ,31,Liverpool FC,Premier League
Adrián,€4.00m  ,32,Liverpool FC,Premier League
Loris Karius,€3.20m  ,26,Liverpool FC,Premier League
Caoimhin Kelleher,€900Th.  ,20,Liverpool FC,Premier League
Andy Lonergan,€250Th.  ,35,Liverpool FC,Premier League
Ben Winterbottom,- ,17,Liverpool FC,Premier League
Vitezslav Jaros,- ,17,Liverpool FC,Premier League
Virgil van Dijk,€80.00m  ,27,Liverpool FC,Premier League
Joe Gomez,€33.50m  ,22,Liverpool FC,Premier League
Joel Matip,€32.00m  ,27,Liverpool FC,Premier League
Dejan Lovren,€16.00m  ,29,Liverpool FC,Premier League
Sepp van den Berg,€1.80m  ,17,Liverpool FC,Premier League
Nathaniel Phillips,€800Th.  ,22,Liverpool FC,Premier League
Tom Clayton,- ,18,Liverpool FC,Premier League
Morgan Boyes,- ,18,Liverpool FC,Premier League
Billy Koumetio,- ,16,Liverpool FC,Premier League
Andrew Robertson,€64.00m  ,25,Liverpool FC,Premier League
Yasser Larouci,€1.80m  ,18,Liverpool FC,Premier League
Tony Gallacher,€250Th.  ,19,Liverpool FC,Premier League
Adam Lewis,- ,19,Liverpool FC,Premier League
James Norris,- ,16,Liverpool FC,Premier League
Trent Alexander Arnold,€99.00m  ,20,Liverpool FC,Premier League
Nathaniel Clyne,€8.00m  ,28,Liverpool FC,Premier League
Ki Jana Hoever,€3.60m  ,17,Liverpool FC,Premier League
Neco Williams,- ,18,Liverpool FC,Premier League
Fabinho,€56.00m  ,25,Liverpool FC,Premier League
Pedro Chirivella,€650Th.  ,22,Liverpool FC,Premier League
Leighton Clarkson,- ,17,Liverpool FC,Premier League
Georginio Wijnaldum,€40.00m  ,28,Liverpool FC,Premier League
Naby Keïta,€33.50m  ,24,Liverpool FC,Premier League
Jordan Henderson,€28.00m  ,29,Liverpool FC,Premier League
Alex Oxlade Chamberlain,€28.00m  ,25,Liverpool FC,Premier League
James Milner,€6.50m  ,33,Liverpool FC,Premier League
Curtis Jones,€1.80m  ,18,Liverpool FC,Premier League
Herbie Kane,€250Th.  ,20,Liverpool FC,Premier League
Elijah Dixon Bonner,- ,18,Liverpool FC,Premier League
Thomas Hill,- ,16,Liverpool FC,Premier League
Adam Lallana,€9.50m  ,31,Liverpool FC,Premier League
Ben Woodburn,€4.50m  ,19,Liverpool FC,Premier League
Isaac Christie Davies,€250Th.  ,21,Liverpool FC,Premier League
Jake Cain,- ,17,Liverpool FC,Premier League
Jack Bearne,- ,17,Liverpool FC,Premier League
Sadio Mané,€120.00m  ,27,Liverpool FC,Premier League
Takumi Minamino,€10.00m  ,24,Liverpool FC,Premier League
Luis Longstaff,- ,18,Liverpool FC,Premier League
Mohamed Salah,€120.00m  ,27,Liverpool FC,Premier League
Xherdan Shaqiri,€16.00m  ,27,Liverpool FC,Premier League
Harvey Elliott,€3.60m  ,16,Liverpool FC,Premier League
Sheyi Ojo,€1.60m  ,22,Liverpool FC,Premier League
Roberto Firmino,€72.00m  ,27,Liverpool FC,Premier League
Divock Origi,€16.00m  ,24,Liverpool FC,Premier League
Rhian Brewster,€5.40m  ,19,Liverpool FC,Premier League
Liam Millar,€50Th.  ,19,Liverpool FC,Premier League
Joe Hardy,- ,20,Liverpool FC,Premier League
Layton Stewart,- ,16,Liverpool FC,Premier League
Hugo Lloris,€14.50m  ,32,Tottenham Hotspur,Premier League
Paulo Gazzaniga,€2.80m  ,27,Tottenham Hotspur,Premier League
Michel Vorm,€800Th.  ,35,Tottenham Hotspur,Premier League
Brandon Austin,€200Th.  ,20,Tottenham Hotspur,Premier League
Alfie Whiteman,- ,20,Tottenham Hotspur,Premier League
Davinson Sánchez,€48.00m  ,23,Tottenham Hotspur,Premier League
Toby Alderweireld,€24.00m  ,30,Tottenham Hotspur,Premier League
Eric Dier,€20.00m  ,25,Tottenham Hotspur,Premier League
Jan Vertonghen,€14.50m  ,32,Tottenham Hotspur,Premier League
Juan Foyth,€13.50m  ,21,Tottenham Hotspur,Premier League
Japhet Tanganga,€7.20m  ,20,Tottenham Hotspur,Premier League
Cameron Carter Vickers,€2.00m  ,21,Tottenham Hotspur,Premier League
Malachi Fagan Walcott,- ,17,Tottenham Hotspur,Premier League
Ryan Sessegnon,€31.50m  ,19,Tottenham Hotspur,Premier League
Ben Davies,€17.50m  ,26,Tottenham Hotspur,Premier League
Danny Rose,€16.00m  ,28,Tottenham Hotspur,Premier League
Dennis Cirkin,- ,17,Tottenham Hotspur,Premier League
Serge Aurier,€16.00m  ,26,Tottenham Hotspur,Premier League
Kyle Walker Peters,€8.00m  ,22,Tottenham Hotspur,Premier League
Harry Winks,€32.00m  ,23,Tottenham Hotspur,Premier League
Oliver Skipp,€7.20m  ,18,Tottenham Hotspur,Premier League
Victor Wanyama,€6.50m  ,28,Tottenham Hotspur,Premier League
Harvey White,- ,17,Tottenham Hotspur,Premier League
Tanguy Ndombélé,€52.00m  ,22,Tottenham Hotspur,Premier League
Moussa Sissoko,€20.00m  ,29,Tottenham Hotspur,Premier League
Gedson Fernandes,€13.50m  ,20,Tottenham Hotspur,Premier League
Christian Eriksen,€68.00m  ,27,Tottenham Hotspur,Premier League
Dele Alli,€64.00m  ,23,Tottenham Hotspur,Premier League
Giovani Lo Celso,€40.00m  ,23,Tottenham Hotspur,Premier League
Heung min Son,€64.00m  ,26,Tottenham Hotspur,Premier League
Steven Bergwijn,€28.00m  ,21,Tottenham Hotspur,Premier League
Georges Kevin N'Koudou,€3.50m  ,24,Tottenham Hotspur,Premier League
Lucas Moura,€32.00m  ,26,Tottenham Hotspur,Premier League
Erik Lamela,€16.00m  ,27,Tottenham Hotspur,Premier League
Harry Kane,€120.00m  ,25,Tottenham Hotspur,Premier League
Troy Parrott,€3.60m  ,17,Tottenham Hotspur,Premier League
Kepa,€32.00m  ,24,Chelsea FC,Premier League
Willy Caballero,€600Th.  ,37,Chelsea FC,Premier League
Jamie Cumming,€450Th.  ,19,Chelsea FC,Premier League
Antonio Rüdiger,€40.00m  ,26,Chelsea FC,Premier League
Kurt Zouma,€28.00m  ,24,Chelsea FC,Premier League
Andreas Christensen,€24.00m  ,23,Chelsea FC,Premier League
Fikayo Tomori,€16.00m  ,21,Chelsea FC,Premier League
Marc Guehi,€2.70m  ,18,Chelsea FC,Premier League
Dynel Simeu,- ,17,Chelsea FC,Premier League
Emerson,€24.00m  ,24,Chelsea FC,Premier League
Marcos Alonso,€20.00m  ,28,Chelsea FC,Premier League
Ian Maatsen,- ,17,Chelsea FC,Premier League
César Azpilicueta,€24.00m  ,29,Chelsea FC,Premier League
Reece James,€22.50m  ,19,Chelsea FC,Premier League
Tariq Lamptey,€3.20m  ,18,Chelsea FC,Premier League
Henry Lawrence,- ,17,Chelsea FC,Premier League
Jorginho,€52.00m  ,27,Chelsea FC,Premier League
N'Golo Kanté,€80.00m  ,28,Chelsea FC,Premier League
Mateo Kovacic,€36.00m  ,25,Chelsea FC,Premier League
Ruben Loftus Cheek,€24.00m  ,23,Chelsea FC,Premier League
Ross Barkley,€21.50m  ,25,Chelsea FC,Premier League
Billy Gilmour,€5.40m  ,18,Chelsea FC,Premier League
Marco van Ginkel,€3.20m  ,26,Chelsea FC,Premier League
Lewis Bate,- ,16,Chelsea FC,Premier League
Davide Zappacosta,€12.00m  ,27,Chelsea FC,Premier League
Mason Mount,€40.50m  ,20,Chelsea FC,Premier League
Faustino Anjorin,€2.30m  ,17,Chelsea FC,Premier League
Christian Pulisic,€54.00m  ,20,Chelsea FC,Premier League
Callum Hudson Odoi,€31.50m  ,18,Chelsea FC,Premier League
Kenedy,€9.50m  ,23,Chelsea FC,Premier League
Willian,€22.50m  ,30,Chelsea FC,Premier League
Pedro,€9.50m  ,31,Chelsea FC,Premier League
Tammy Abraham,€40.00m  ,21,Chelsea FC,Premier League
Michy Batshuayi,€17.50m  ,25,Chelsea FC,Premier League
Olivier Giroud,€7.00m  ,32,Chelsea FC,Premier League
Armando Broja,- ,17,Chelsea FC,Premier League
David de Gea,€40.00m  ,28,Manchester United,Premier League
Sergio Romero,€2.80m  ,32,Manchester United,Premier League
Lee Grant,€600Th.  ,36,Manchester United,Premier League
Joel Pereira,€475Th.  ,23,Manchester United,Premier League
Matej Kovar,€250Th.  ,19,Manchester United,Premier League
Harry Maguire,€56.00m  ,26,Manchester United,Premier League
