Player,Marktvalue,Age,Team,League
Ederson,56000000  ,25,Manchester City,Premier League
Arijanet Muric,1800000  ,20,Manchester City,Premier League
Claudio Bravo,1200000  ,36,Manchester City,Premier League
Scott Carson,800000  ,33,Manchester City,Premier League
Aymeric Laporte,60000000  ,25,Manchester City,Premier League
John Stones,36000000  ,25,Manchester City,Premier League
Nicolas Otamendi,14500000  ,31,Manchester City,Premier League
Eric Garcia,6300000  ,18,Manchester City,Premier League
Tosin Adarabioyo,2800000  ,21,Manchester City,Premier League
Taylor Harwood Bellis,2300000  ,17,Manchester City,Premier League
Benjamin Mendy,28000000  ,24,Manchester City,Premier League
Oleksandr Zinchenko,24000000  ,22,Manchester City,Premier League
Angelino,17500000  ,22,Manchester City,Premier League
Kyle Walker,40000000  ,29,Manchester City,Premier League
Joao Cancelo,36000000  ,25,Manchester City,Premier League
Alpha Dionkou,250000  ,17,Manchester City,Premier League
Rodri,64000000  ,23,Manchester City,Premier League
Fernandinho,8000000  ,34,Manchester City,Premier League
Ilkay Gundogan,40000000  ,28,Manchester City,Premier League
Phil Foden,27000000  ,19,Manchester City,Premier League
Tommy Doyle,0 ,17,Manchester City,Premier League
Kevin De Bruyne,120000000  ,28,Manchester City,Premier League
David Silva,12000000  ,33,Manchester City,Premier League
Adrian Bernabe,2300000  ,18,Manchester City,Premier League
Ryotaro Meshino,450000  ,21,Manchester City,Premier League
Cole Palmer,0 ,17,Manchester City,Premier League
Raheem Sterling,128000000  ,24,Manchester City,Premier League
Leroy Sane,80000000  ,23,Manchester City,Premier League
Bernardo Silva,80000000  ,24,Manchester City,Premier League
Riyad Mahrez,48000000  ,28,Manchester City,Premier League
Patrick Roberts,2800000  ,22,Manchester City,Premier League
Ian Poveda,675000  ,19,Manchester City,Premier League
Gabriel Jesus,56000000  ,22,Manchester City,Premier League
Sergio Aguero,52000000  ,31,Manchester City,Premier League
Alisson,72000000  ,26,Liverpool FC,Premier League
Simon Mignolet,8000000  ,31,Liverpool FC,Premier League
Adrian,4000000  ,32,Liverpool FC,Premier League
Loris Karius,3200000  ,26,Liverpool FC,Premier League
Caoimhin Kelleher,900000  ,20,Liverpool FC,Premier League
Andy Lonergan,250000  ,35,Liverpool FC,Premier League
Ben Winterbottom,0 ,17,Liverpool FC,Premier League
Vitezslav Jaros,0 ,17,Liverpool FC,Premier League
Virgil van Dijk,80000000  ,27,Liverpool FC,Premier League
Joe Gomez,33500000  ,22,Liverpool FC,Premier League
Joel Matip,32000000  ,27,Liverpool FC,Premier League
Dejan Lovren,16000000  ,29,Liverpool FC,Premier League
Sepp van den Berg,1800000  ,17,Liverpool FC,Premier League
Nathaniel Phillips,800000  ,22,Liverpool FC,Premier League
Tom Clayton,0 ,18,Liverpool FC,Premier League
Morgan Boyes,0 ,18,Liverpool FC,Premier League
Billy Koumetio,0 ,16,Liverpool FC,Premier League
Andrew Robertson,64000000  ,25,Liverpool FC,Premier League
Yasser Larouci,1800000  ,18,Liverpool FC,Premier League
Tony Gallacher,250000  ,19,Liverpool FC,Premier League
Adam Lewis,0 ,19,Liverpool FC,Premier League
James Norris,0 ,16,Liverpool FC,Premier League
Trent Alexander Arnold,99000000  ,20,Liverpool FC,Premier League
Nathaniel Clyne,8000000  ,28,Liverpool FC,Premier League
Ki Jana Hoever,3600000  ,17,Liverpool FC,Premier League
Neco Williams,0 ,18,Liverpool FC,Premier League
Fabinho,56000000  ,25,Liverpool FC,Premier League
Pedro Chirivella,650000  ,22,Liverpool FC,Premier League
Leighton Clarkson,0 ,17,Liverpool FC,Premier League
Georginio Wijnaldum,40000000  ,28,Liverpool FC,Premier League
Naby Keita,33500000  ,24,Liverpool FC,Premier League
Jordan Henderson,28000000  ,29,Liverpool FC,Premier League
Alex Oxlade Chamberlain,28000000  ,25,Liverpool FC,Premier League
James Milner,6500000  ,33,Liverpool FC,Premier League
Curtis Jones,1800000  ,18,Liverpool FC,Premier League
Herbie Kane,250000  ,20,Liverpool FC,Premier League
Elijah Dixon Bonner,0 ,18,Liverpool FC,Premier League
Thomas Hill,0 ,16,Liverpool FC,Premier League
Adam Lallana,9500000  ,31,Liverpool FC,Premier League
Ben Woodburn,4500000  ,19,Liverpool FC,Premier League
Isaac Christie Davies,250000  ,21,Liverpool FC,Premier League
Jake Cain,0 ,17,Liverpool FC,Premier League
Jack Bearne,0 ,17,Liverpool FC,Premier League
Sadio Mane,120000000  ,27,Liverpool FC,Premier League
Takumi Minamino,10000000  ,24,Liverpool FC,Premier League
Luis Longstaff,0 ,18,Liverpool FC,Premier League
Mohamed Salah,120000000  ,27,Liverpool FC,Premier League
Xherdan Shaqiri,16000000  ,27,Liverpool FC,Premier League
Harvey Elliott,3600000  ,16,Liverpool FC,Premier League
Sheyi Ojo,1600000  ,22,Liverpool FC,Premier League
Roberto Firmino,72000000  ,27,Liverpool FC,Premier League
Divock Origi,16000000  ,24,Liverpool FC,Premier League
Rhian Brewster,5400000  ,19,Liverpool FC,Premier League
Liam Millar,50000  ,19,Liverpool FC,Premier League
Joe Hardy,0 ,20,Liverpool FC,Premier League
Layton Stewart,0 ,16,Liverpool FC,Premier League
Hugo Lloris,14500000  ,32,Tottenham Hotspur,Premier League
Paulo Gazzaniga,2800000  ,27,Tottenham Hotspur,Premier League
Michel Vorm,800000  ,35,Tottenham Hotspur,Premier League
Brandon Austin,200000  ,20,Tottenham Hotspur,Premier League
Alfie Whiteman,0 ,20,Tottenham Hotspur,Premier League
Davinson Sanchez,48000000  ,23,Tottenham Hotspur,Premier League
Toby Alderweireld,24000000  ,30,Tottenham Hotspur,Premier League
Eric Dier,20000000  ,25,Tottenham Hotspur,Premier League
Jan Vertonghen,14500000  ,32,Tottenham Hotspur,Premier League
Juan Foyth,13500000  ,21,Tottenham Hotspur,Premier League
Japhet Tanganga,7200000  ,20,Tottenham Hotspur,Premier League
Cameron Carter Vickers,2000000  ,21,Tottenham Hotspur,Premier League
Malachi Fagan Walcott,0 ,17,Tottenham Hotspur,Premier League
Ryan Sessegnon,31500000  ,19,Tottenham Hotspur,Premier League
Ben Davies,17500000  ,26,Tottenham Hotspur,Premier League
Danny Rose,16000000  ,28,Tottenham Hotspur,Premier League
Dennis Cirkin,0 ,17,Tottenham Hotspur,Premier League
Serge Aurier,16000000  ,26,Tottenham Hotspur,Premier League
Kyle Walker Peters,8000000  ,22,Tottenham Hotspur,Premier League
Harry Winks,32000000  ,23,Tottenham Hotspur,Premier League
Oliver Skipp,7200000  ,18,Tottenham Hotspur,Premier League
Victor Wanyama,6500000  ,28,Tottenham Hotspur,Premier League
Harvey White,0 ,17,Tottenham Hotspur,Premier League
Tanguy Ndombele,52000000  ,22,Tottenham Hotspur,Premier League
Moussa Sissoko,20000000  ,29,Tottenham Hotspur,Premier League
Gedson Fernandes,13500000  ,20,Tottenham Hotspur,Premier League
Christian Eriksen,68000000  ,27,Tottenham Hotspur,Premier League
Dele Alli,64000000  ,23,Tottenham Hotspur,Premier League
Giovani Lo Celso,40000000  ,23,Tottenham Hotspur,Premier League
Heung min Son,64000000  ,26,Tottenham Hotspur,Premier League
Steven Bergwijn,28000000  ,21,Tottenham Hotspur,Premier League
Georges Kevin NKoudou,3500000  ,24,Tottenham Hotspur,Premier League
Lucas Moura,32000000  ,26,Tottenham Hotspur,Premier League
Erik Lamela,16000000  ,27,Tottenham Hotspur,Premier League
Harry Kane,120000000  ,25,Tottenham Hotspur,Premier League
Troy Parrott,3600000  ,17,Tottenham Hotspur,Premier League
Kepa,32000000  ,24,Chelsea FC,Premier League
Willy Caballero,600000  ,37,Chelsea FC,Premier League
Jamie Cumming,450000  ,19,Chelsea FC,Premier League
Antonio Rudiger,40000000  ,26,Chelsea FC,Premier League
Kurt Zouma,28000000  ,24,Chelsea FC,Premier League
Andreas Christensen,24000000  ,23,Chelsea FC,Premier League
Fikayo Tomori,16000000  ,21,Chelsea FC,Premier League
Marc Guehi,2700000  ,18,Chelsea FC,Premier League
Dynel Simeu,0 ,17,Chelsea FC,Premier League
