,user_account,text,created_at
0,lovehealer,"RT @Borealconserve: “We have the vision, we need the resources.” Ethel Blondin-Andrew on how investing in #Indigenous-led #conservation can…",2021-03-13 18:22:38
1,GStephenson_Wx,"Eunice Foote: The Climate Science Pioneer
""Foote conducted a series of experiments showing the interactions of the… https://t.co/OALEj9bvUN",2021-03-13 18:22:19
2,Ridsdale7,"RT @ambermac: ""#Zuckerberg said…by 2030, people could use advanced smart glasses to 'teleport' to other people’s homes, &amp; speak to them as…",2021-03-13 18:21:38
3,LokendraSaini_,"RT @Wangchuk66: SEEMS TWITTER SUPRESSES TWEETS WITH YT VIDEO LINK !
Could it be because they don't want u to leave the platform! 🤔
Here I'm…",2021-03-13 18:21:11
4,GreenNewDeal_EU,RT @arjbvmtc: #ClimateCrisis #ClimateChange #ClimateAction #ClimateActionNow #ClimateChangeIsReal #ClimateEmergency #ClimateStrike #FaceThe…,2021-03-13 18:20:23
5,meiklwagner,"RT @meiklwagner: Vienna calling - Falco, 1985, A&amp;M Records. On Youtube: https://t.co/HiSWsvb0uO Hallo Wien, Hallo Munic, habe Euch nicht ve…",2021-03-13 18:20:06
6,_OScience,Did Climate Change Help Spark The Syrian War? https://t.co/qnDWgFgLGs @_OScience earthinstitute #climatechange https://t.co/Sm4WFU17qp,2021-03-13 18:20:05
7,IamAshaverus,RT @NOAAResearch: A new study has pinpointed the mountain snowpack most at risk from #ClimateChange. https://t.co/lFp0hetQpr https://t.co/a…,2021-03-13 18:19:56
8,7benhart,"RT @EUClimateAction: Today we are launching the European Climate &amp; Health Observatory together with @EUEnvironment
It will provide the know…",2021-03-13 18:19:16
9,Drsarika005,"RT @ForumPlastic: Join the #GlobalClimateStrike on 19th March to raise your voice against #ClimateChange

Together we can and we will-
#Sav…",2021-03-13 18:19:15
10,RoyceGay2,"@DianaRoss I am honored to have you as a friend and relative as we champion our cause to get #ClimateChange, #CrazyHorseProphecy",2021-03-13 18:19:14
11,MichalFutera,RT @henryskupin: @ENERGY One of the things that made America great was innovations around energy production... now... Fossil fuels are as t…,2021-03-13 18:18:52
12,henryskupin,@ENERGY One of the things that made America great was innovations around energy production... now... Fossil fuels a… https://t.co/sQ2XjCS4NY,2021-03-13 18:18:47
13,Eco1stArt,RT @arjbvmtc: #ClimateCrisis #ClimateChange #ClimateAction #ClimateActionNow #ClimateChangeIsReal #ClimateEmergency #ClimateStrike #FaceThe…,2021-03-13 18:18:44
14,nagah0,RT @docrussjackson: @Jacob_Rees_Mogg German newspaper Die Zeit described Jacob Rees-Mogg as a 'living fossil who lives in a £million estate…,2021-03-13 18:18:11
15,AquariusMage,"RT @OnlyFragments: I’ve carried the burden of extinction on my shoulders since I was a child... (cont)

#extinction #geology #earth #enviro…",2021-03-13 18:18:02
16,stefano_b_l,RT @SydesJokes: #ClimateChange: 'Forever plant' seagrass faces uncertain future https://t.co/AVIcsX55tt,2021-03-13 18:17:59
17,JEFERSONFREPRES,"RT @claudia_stauber: If you are talking about #climatechange, but you are not talking about #geoengineering, then you are missing the boat.…",2021-03-13 18:17:55
18,ebikermag,"RT @zebra_now: Floatin into the weekend like...∘˚˳°∘˚˳°॰°ₒ

#ebikes #electric #micromobility #ecofriendly #citylife #climatechange #electri…",2021-03-13 18:17:52
19,bRawlaphant,"Oh, I seek engagement for @EverGreenCoin_ more than anything else when it comes to a #ClimateStrikeOnline.

Lets… https://t.co/1zhQeB5pqR",2021-03-13 18:17:20
20,JEFERSONFREPRES,RT @claudia_stauber: #Climatechange a.k.a. climate engineering a.k.a. Geo engineering a.k.a. solar radiation management a.k.a. aerosol disp…,2021-03-13 18:17:04
21,Toninelligianc1,RT @SwissRe: There are three main ways reinsurers can help mitigate the risk of #climatechange. #natcat2021 #climaterisk,2021-03-13 18:17:01
22,eAnkitPandey,RT @arjbvmtc: #ClimateCrisis #ClimateChange #ClimateAction #ClimateActionNow #ClimateChangeIsReal #ClimateEmergency #ClimateStrike #FaceThe…,2021-03-13 18:16:42
23,NaomiOreskes,RT @audubonsociety: What are you going to plant for #PlantAFlowerDay 🌸 ? You can't go wrong with native plants: #PlantsForBirds help fight…,2021-03-13 18:16:10
24,athenamkaiman,@inspiredbylaban @HollowManSeries @NuttlyR @GordonMiyoshi @ana_spano @bobby_kountz @KalbMarple @Kellyrei007… https://t.co/mOhzvFHfM2,2021-03-13 18:15:42
25,greentechdon,"RT @jackshaw: Two and a half minutes on Strategic Planning for Small Businesses (https://t.co/NQOmSgMG2c).
Want to see the full half-hour i…",2021-03-13 18:15:18
26,greentechdon,"RT @enricomolinari: Madagascar is slowly breaking up into smaller islands! https://t.co/Ciz9TfMfOr @wef via @enricomolinari 

#SDGs #sustai…",2021-03-13 18:14:57
27,arjbvmtc,#ClimateCrisis #ClimateChange #ClimateAction #ClimateActionNow #ClimateChangeIsReal #ClimateEmergency… https://t.co/edC4t5KJKB,2021-03-13 18:14:40
28,WivenhoeConnect,"RT @PaulineCastres: #ClimateChange hits the poorest and most marginalized, many of which are disabled women.

Equipment will be lost, build…",2021-03-13 18:14:12
