,user_account,text,created_at
0,NoahsArkCrew,"RT @FFF_Berlin: In sechs Tagen streiken wir #AlleFür1Komma5!

Unsere Aktionen sind hier zu finden:
🟢https://t.co/h0lkFez8uY

Wichtig: die S…",2021-03-14 08:42:48
1,therealZumpel,"RT @Studis4FutureDE: Morgen ist #Landtagswahl in #BadenWürttemberg und #RheinlandPfalz. Wir rufen dich DRINGEND dazu auf, morgen ins wählen…",2021-03-14 08:41:42
2,WernerS89664936,"RT @Studis4FutureDE: Morgen ist #Landtagswahl in #BadenWürttemberg und #RheinlandPfalz. Wir rufen dich DRINGEND dazu auf, morgen ins wählen…",2021-03-14 08:40:48
3,NoahsArkCrew,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 08:40:20
4,JeetenKaalia,"RT @GretaThunberg: School strike week 134.
#climatestrikeonline
#fridaysforfuture #schoolstrike4climate #FaceTheClimateEmergency https://t.…",2021-03-14 08:33:26
5,corpusalbus,Der #Klimawandel ist eine große Lüge... #Klimakrise #FridaysForFuture #Journalismus #Klimaexperte #Wald #Wetter https://t.co/C4IEIQ5wDq,2021-03-14 08:32:01
6,JaneCulpanQMU,RT @physiot39280639: On March 19th we join the global action on climate change supporting #FridaysForFuture and advocate for physiotherapy…,2021-03-14 08:32:00
7,ogbeare,"RT @elleyaf_365: by the ocean together.

Individual deeds matter. We must take part in obliging our leaders to preserve our only home--eith…",2021-03-14 08:28:43
8,andreasnohsia,"RT @GretaThunberg: School strike week 134.
#climatestrikeonline
#fridaysforfuture #schoolstrike4climate #FaceTheClimateEmergency https://t.…",2021-03-14 08:27:49
9,AlexiaLiguori,Chiediamo ad @HardRock di impegnarsi su scala globale a smettere di utilizzare uova di galline ovaiole allevate in… https://t.co/OpcoLaIqJU,2021-03-14 08:25:33
10,TruktorNFT,RT @0x_brain: Incredibly grateful to be able to start my @SuperRare collection with a favourite by the talented @Inward_3Dart. “O2 Generato…,2021-03-14 08:25:07
11,JeetenKaalia,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 08:22:07
12,Sk64123097,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 08:21:30
13,GreenNewDeal_EU,RT @FridaysBad: Das ist wirklich beunruhigend worüber @jrockstrom hier schreibt. Der #AmazonasRegenwald nützt in Teilen dem Klima nicht meh…,2021-03-14 08:20:11
14,GreenNewDeal_EU,"RT @ECOabraham: Miles y miles de jóvenes me han echado en cara qué les estoy dejando una mierda de planeta. ¿Tú cómo lo ves? 
https://t.co/…",2021-03-14 08:20:00
15,GreenpeaceCott1,"RT @Studis4FutureDE: Morgen ist #Landtagswahl in #BadenWürttemberg und #RheinlandPfalz. Wir rufen dich DRINGEND dazu auf, morgen ins wählen…",2021-03-14 08:17:28
16,SebiSolidwork,"Politisches Engagement geht auch außerhalb von Parteien.
Parteien sind nicht die einzige Politik.… https://t.co/7RWSmt9f6D",2021-03-14 08:16:40
17,IngridEckerman,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 08:13:14
18,JuliaWalterFilm,"RT @Studis4FutureDE: Morgen ist #Landtagswahl in #BadenWürttemberg und #RheinlandPfalz. Wir rufen dich DRINGEND dazu auf, morgen ins wählen…",2021-03-14 08:09:42
19,FridaysBad,Das ist wirklich beunruhigend worüber @jrockstrom hier schreibt. Der #AmazonasRegenwald nützt in Teilen dem Klima n… https://t.co/oQIMLrU1Wj,2021-03-14 08:04:08
20,Invincible1881,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 08:03:13
21,OurFutureBot,"RT @ECOabraham: Miles y miles de jóvenes me han echado en cara qué les estoy dejando una mierda de planeta. ¿Tú cómo lo ves? 
https://t.co/…",2021-03-14 08:02:04
22,MedMultiverse,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 08:02:03
23,legenrehumain,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 08:01:36
24,OurFutureBot,"RT @FFF_Bangladesh: #FaceTheClimateEmergency
Climate Strike at Dhaka, Bangladesh in front of Dhaka University. 

@GretaThunberg @Fridays4fu…",2021-03-14 08:01:23
25,AllGoneTomorrow,"@NobelPrize #Nobel4Greta !
#FridaysForFuture 
#ClimateStrike",2021-03-14 08:00:55
26,comitatogoccia,RT @Cittadinireatti: La ripartenza si fa a porte e dati aperti - https://t.co/cyPq5YpZaY è uscita la nostra newsletter #liberaecivica #ripa…,2021-03-14 07:58:14
27,Salanovish,"RT @FFF_Bangladesh: #FaceTheClimateEmergency
Climate Strike at Dhaka, Bangladesh in front of Dhaka University. 

@GretaThunberg @Fridays4fu…",2021-03-14 07:54:57
28,ECOabraham,Miles y miles de jóvenes me han echado en cara qué les estoy dejando una mierda de planeta. ¿Tú cómo lo ves?… https://t.co/nx8OZwIGFs,2021-03-14 07:52:24
29,BenMBallin,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 07:52:08
30,PaoloTessiore,"RT @GretaThunberg: School strike week 134.
#climatestrikeonline
#fridaysforfuture #schoolstrike4climate #FaceTheClimateEmergency https://t.…",2021-03-14 07:51:13
31,shiba_garrix,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 07:51:07
32,mahwal1981,"RT @vanessa_vash: School strike week 117
#climatestrikeonline
#fridaysforfuture #schoolstrike4climate #FaceTheClimateEmergency 
#Riseupmove…",2021-03-14 07:50:18
33,ju_malinalli,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 07:50:13
34,AllGoneTomorrow,"RT @AllGoneTomorrow: https://t.co/QdfTF9jfLI
#Nobel4Greta
#FridaysForFuture 
#ClimateStrike 
#ClimateActionNow 
#GreenNewDeal 
#SaveEveryth…",2021-03-14 07:49:35
35,MagnusCarlbring,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 07:48:26
36,NicolasBakhtiar,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 07:41:36
37,Scapeler,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 07:39:34
38,jmorat,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 07:38:27
39,WillKnocker,RT @arikring: @Hazloe3 @ProfStrachan @ECOWARRIORSS @ChristineMilne @ristori20 @mzjacobson @charluv2011 @BSuhic @NJdoc @ddelich @elder_jodi…,2021-03-14 07:37:01
40,UweKoesser,"RT @NiAuKo: Guten Morgen Ihr Lieben.

Ist das CO², wovon alle immer reden, wirklich das Problem? Ich kann das nicht glauben. Ich habe immer…",2021-03-14 07:34:54
41,AjeetMauryan,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 07:32:53
42,courregesbri,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 07:32:31
43,MikeWolfgang2,"RT @GretaThunberg: School strike week 134.
#climatestrikeonline
#fridaysforfuture #schoolstrike4climate #FaceTheClimateEmergency https://t.…",2021-03-14 07:30:59
44,HondaBerlin,RT @HondaBerlin: Boing Bum Chuck. #honda #volkswagen #mercedesbenz #covid19 #musicforhope #fridaysforfuture https://t.co/VmF0X0zE76,2021-03-14 07:27:15
45,MohammadBahrai7,"RT @GretaThunberg: ""We feel very motivated by the activism. It gives us a meaning in life - and a meaning in life makes you happy.""

Interv…",2021-03-14 07:27:07
46,meiklwagner,"RT @meiklwagner: Good morning #Berlin👑, #Twitter &amp; #Planet.

I've Been In Love Before - Cutting Crew, 1986, Siren/Virgin Records. On YouTub…",2021-03-14 07:26:07
47,troldenteddy,"RT @saoi4climate: #FridaysForFuture week 114 in Cork, Ireland. The climate crisis hasn’t gone anywhere and neither have we. #NoMoreEmptyPro…",2021-03-14 07:24:42
48,GreenNewDeal_EU,"RT @NiAuKo: Guten Morgen Ihr Lieben.

Ist das CO², wovon alle immer reden, wirklich das Problem? Ich kann das nicht glauben. Ich habe immer…",2021-03-14 07:20:14
49,GreenNewDeal_EU,"RT @locavoresco: #Plymouth ,  New Brunswick direct sale from farm https://t.co/5PcupQUnwg #localfood #FridaysForFuture",2021-03-14 07:20:12
50,KioMalin,"RT @Studis4FutureDE: Morgen ist #Landtagswahl in #BadenWürttemberg und #RheinlandPfalz. Wir rufen dich DRINGEND dazu auf, morgen ins wählen…",2021-03-14 07:16:38
