,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,Core_comms,"We are a service-driven, creative marketing agency that truly partners with our clients to unlock the potential of their communications.","London, England",106,28,294,2,#greenbonds allow us as responsible and #sustainableinvestors to play an active role in helping companies to reduce their #environmentalimpact and mitigate #climatechange. Find out more about how our #fixedincome funds seek exposure to these instruments: https://t.co/ujqeD21KMt https://t.co/DVHAuob97V,"['greenbonds', 'sustainableinvestors']"
1,SujalaPant,Global citizen with a Nepali heart.  Tweets are my own.,,887,479,2459,3,"Some of the challenges in #Sudan:

🔹Desertification &amp; #climatechange
🔹Displacement
🔹Poverty &amp; unemployment
🔹Underrepresentation of women in decision-making
🔹Conflicts between pastoral groups &amp; sedentary farmers
🔹Lack of data driven policies

@DKyurkchieva #IWD2021 https://t.co/MEiznQspd7","['Sudan', 'climatechange']"
2,Inge_Vianen,Global Leader CARE Climate Change and Resilience Platform | Voorzitter Straatpastoraat Den Haag | Tweets op persoonlijke titel | https://t.co/16bAzdzsdY,"Stichtse Vecht, Nederland",2092,1616,4999,4,"Raquel's organisation is tackling #ClimateChange in #Guatemala and lobbying the government for action ✊ 🌏 Women on the frontlines of the #ClimateCrisis are leading the response in their communities, yet only 37% of top climate negotiators are women. #StopTellingHalfTheStory https://t.co/hN9MFCyeuv","['ClimateChange', 'Guatemala']"
3,arhqadri,"Founder, Chairman & CIO of YG Holdings | Ex @AmericanExpress, @GouvQc, @HondaCanada | Follows/Likes/RTs ≠ endorsement | Alumnus @UofTEngineering @Concordia",🇵🇰 | 🇨🇦 | 🇺🇸,3728,3680,19910,13,How the world's cities will change if we don't stop #ClimateChange. (World Economic Forum) #Environment https://t.co/HQAoDxLfPQ,"['ClimateChange', 'Environment']"
4,ReportsDaNews,"No Lists Please
#BidenHarris2020 
Source is almost always in comments. NOT A JOURNALIST yet. Most of what I say is true, if it’s news, it’s always true.",🇨🇦,28360,32795,191633,1,"Bezos plans to spend $10B by 2030 on #climatechange 

https://t.co/DFe4qORB3o

@ReportsDaNews @barntiques859 @ArtKetterhagen1 @grannieof10kids @americanmclass @jvhellew @ana_luvs_TWD @13WJM @IHaveDragons @SoldierofResist @JulesNYNY @PeachResist @AuntMichelle77 @March4HerandUs https://t.co/sVDzj2iBYU",['climatechange']
5,SmartCoverSys,"SmartCover remotely monitors, collects and analyzes sewer data, delivering timely notifications for response teams to protect communities across North America.","San Diego, CA",254,241,1371,0,"Flooding homes and businesses have reached historic levels in some places. #Climatechange makes keeping sewage out of our communities a tougher job. @rontimes @weatherchannel
https://t.co/qDsoXXWyoI",['Climatechange']
6,solarcentury,Global integrated solar power company🔸Established in 1998🔸Part of @Statkraft🌎,London,1013,9336,5514,0,"Great news from @Unilever 👏💚

https://t.co/tWYd12PWqn

#climatechange",['climatechange']
7,CovUniResearch,Ground-breaking research and cutting edge thinking from Coventry University.,"Coventry, UK",707,2931,3422,0,"Interested in applying #ArtificialIntelligence to #ClimateChange modelling to assist agriculture? @CovUni_CDS is offering a fully-funded #PhD studentship on this topic! 

Find out more and apply: https://t.co/FlXFIYRsXu

Deadline: 15th March #DataScience #CovPGR https://t.co/zh07s0k4p1","['ArtificialIntelligence', 'ClimateChange', 'PhD', 'DataScience', 'CovPGR']"
8,DianaRibaGiner,"Pedagoga i llibretera. Ara, també soc eurodiputada per @Esquerra_ERC. Portem la veu dels represaliats al @Europarl_EN i hi fem política per fer justícia.",,2373,18804,6092,2,"SAVE THE DELTAS 💦
 
@EU_Commission, we need a sufficient regulatory framework to ensure the effective protection and restoration of #Deltas like the Rhine, the Danube or the Po, which suffer from the increasing risks of #climatechange impacts &amp; inadequate river basin management! https://t.co/4v23lb6D8U",[]
9,AGreeAgPolicy,We drive positive change in food & ag. Tweets share our perspectives & cover top news to foster inclusive dialogue. News tweets are not an endorsement.,"Washington, D.C.",666,3307,21986,0,Food Systems Account for More Than One Third of Global Greenhouse Gas Emissions -- @FAO @NatureFoodJnl #foodsystems #GHG #climatechange @EU_Commission https://t.co/a5qsAC61Ej,"['foodsystems', 'GHG', 'climatechange']"
10,TheFutureEcoFlo,"Multilingual connector, publisher, interviewer, moderator, speaker & promoter of the 🇨🇦 economy! Director of @FuturEconomy
Connect on LinkedIn too ↓",Canada,7260,17633,10337,3,"3 DAYS TO GO! Have you registered yet? 👏

We have a stellar lineup of 🇨🇦 industry leaders + there will be a LIVE Q&amp;A so come with questions! And it's FREE!

#Energy #EnergyTransition #Cleantech #Renewables #SmartCities #CleanGrowth #ClimateChange #CdnPoli #CdnEcon https://t.co/mwywLGKcmo",[]
11,Fisher_DanaR,"Professor of Sociology. Democracy-Activism-Protest-Climate-the Environment, and all sorts of data-driven social science. #AmericanResistance https://t.co/T0D57HEBTM",socially distant 😷,1762,5718,53592,52,"“You are here. 

800,000 years of global atmospheric CO2.
We're starting 2020 at 413 ppm, up almost 50% from the 1800s. This is the #ClimateEmergency.” - @PeterGleick,  Climate/Water/Sustainability scientist, 1-8-20. https://t.co/HBF6sb3IXY",[]
12,Scottabonar1,"Fish Scientist, Professor Natural Resources, Leader AZ Coop. Fish & Wildl. Research Unit, Immediate Past Pres., American Fisheries Society, Fellow, AFS & AIFRB","Tucson, AZ",153,731,656,1,"@ClintMuhlfeld , @Scottabonar1 , Robert Al-chokhachy, and I are organizing a #climatechange symposium for the @WesternDivAFS annual meeting.  Check it out.  Consider contributing. 👇 https://t.co/Z0deY2PX9U",['climatechange']
13,rpujolvives,"Qui no li cal aprendre més no ha après res - Who will not need to learn more, she/he has learned nothing: E. Canetti",Catalunya,1636,1350,112910,0,"Our systems designed to work in good weather, we work well in good weather too https://t.co/0lbZrsN8NN #GlobalWarming 
@BBCNews - #Climatechange: Future floods will delay emergency response https://t.co/PpMnLz1o2Y","['GlobalWarming', 'Climatechange']"
14,reynoldslouise,"Registered Dietitian, MINDI; MSc. Communications Manager INDI;","Dublin, Ireland",1411,1825,6360,1,What a fantastic topic. This is an amazing series of lectures held by the experts on the cutting edge of all things nutritional. It’s #free and well worth signing up to! #foodwaste #climatechange #science https://t.co/3IvAWJFKW5,[]
15,m1chellemejia,"Lacto-Ovo-Pescatarian              
RunnER | PaddlER | SmashER | BooklovER | RiceeatER","Dubai, United Arab Emirates",471,80,7847,4,"𝗗𝗔𝗜𝗟𝗬 𝗡𝗘𝗪𝗦 𝗗𝗜𝗚𝗘𝗦𝗧: Energy Transition Dialogues March 10th

𝗖𝗟𝗜𝗖𝗞 𝗛𝗘𝗥𝗘 ➡ https://t.co/tRYbBCzBEP

#COVID19 #Energytransition #hydrogen #climatechange  #sustainability #India #emissions https://t.co/OzVKtzC8mY","['COVID19', 'Energytransition']"
16,omkara47,‏‏‏‏‏( قُلْ هُوَ اللَّهُ أَحَدٌ ۞ اللَّهُ الصَّمَدُ ۞ لَمْ يَلِدْ وَلَمْ يُولَدْ ۞ وَلَمْ يَكُن لَّهُ كُفُوًا أَحَدٌ ۞ ),"Islamabad, Pakistan     NA-52",4970,2626,96161,70,"Under #10BillionTreeTsunami afforestation campaign, launched by Prime Minister Imran Khan, thousands of large size saplings (different species) have been planted on the main GT Road between Peshawar and Nowshera🌳🇵🇰🌳🇵🇰 #Plant4Pakistan #ClimateChange @IshtiaqUrmarPTI https://t.co/sghzbdZJe5",['10BillionTreeTsunami']
